Tue Dec 19 12:51:08 2023 Epoch 1, lr: 0.0000010, train loss: 1.62685, valid set1 loss: 0.49960
Tue Dec 19 12:52:39 2023 Epoch 2, lr: 0.0000010, train loss: 0.46925, valid set1 loss: 0.39533
Tue Dec 19 12:54:10 2023 Epoch 3, lr: 0.0000010, train loss: 0.37326, valid set1 loss: 0.34685
Tue Dec 19 12:55:40 2023 Epoch 4, lr: 0.0000010, train loss: 0.32276, valid set1 loss: 0.28919
Tue Dec 19 12:57:10 2023 Epoch 5, lr: 0.0000010, train loss: 0.27995, valid set1 loss: 0.24818
Tue Dec 19 12:58:40 2023 Epoch 6, lr: 0.0000010, train loss: 0.25080, valid set1 loss: 0.24061
Tue Dec 19 13:00:09 2023 Epoch 7, lr: 0.0000010, train loss: 0.22773, valid set1 loss: 0.21744
Tue Dec 19 13:01:40 2023 Epoch 8, lr: 0.0000010, train loss: 0.20770, valid set1 loss: 0.20708
Tue Dec 19 13:03:10 2023 Epoch 9, lr: 0.0000010, train loss: 0.19184, valid set1 loss: 0.19752
Tue Dec 19 13:04:40 2023 Epoch 10, lr: 0.0000010, train loss: 0.17905, valid set1 loss: 0.19295
Tue Dec 19 13:06:11 2023 Epoch 11, lr: 0.0000010, train loss: 0.17177, valid set1 loss: 0.18399
Tue Dec 19 13:07:41 2023 Epoch 12, lr: 0.0000010, train loss: 0.16306, valid set1 loss: 0.18099
Tue Dec 19 13:09:12 2023 Epoch 13, lr: 0.0000010, train loss: 0.15784, valid set1 loss: 0.17800
Tue Dec 19 13:10:42 2023 Epoch 14, lr: 0.0000010, train loss: 0.15251, valid set1 loss: 0.17322
Tue Dec 19 13:12:12 2023 Epoch 15, lr: 0.0000009, train loss: 0.14738, valid set1 loss: 0.17280
Tue Dec 19 13:13:43 2023 Epoch 16, lr: 0.0000009, train loss: 0.14303, valid set1 loss: 0.17129
Tue Dec 19 13:15:13 2023 Epoch 17, lr: 0.0000009, train loss: 0.14130, valid set1 loss: 0.16985
Tue Dec 19 13:16:43 2023 Epoch 18, lr: 0.0000009, train loss: 0.13779, valid set1 loss: 0.16769
Tue Dec 19 13:18:13 2023 Epoch 19, lr: 0.0000009, train loss: 0.13367, valid set1 loss: 0.16617
Tue Dec 19 13:19:43 2023 Epoch 20, lr: 0.0000009, train loss: 0.13776, valid set1 loss: 0.17345
Tue Dec 19 13:21:12 2023 Epoch 21, lr: 0.0000009, train loss: 0.13748, valid set1 loss: 0.17314
Tue Dec 19 13:22:40 2023 Epoch 22, lr: 0.0000009, train loss: 0.13564, valid set1 loss: 0.17091
Tue Dec 19 13:24:09 2023 Epoch 23, lr: 0.0000009, train loss: 0.13058, valid set1 loss: 0.16381
Tue Dec 19 13:25:39 2023 Epoch 24, lr: 0.0000009, train loss: 0.12757, valid set1 loss: 0.16605
Tue Dec 19 13:27:08 2023 Epoch 25, lr: 0.0000009, train loss: 0.12501, valid set1 loss: 0.16517
Tue Dec 19 13:28:36 2023 Epoch 26, lr: 0.0000008, train loss: 0.12212, valid set1 loss: 0.16120
Tue Dec 19 13:30:06 2023 Epoch 27, lr: 0.0000008, train loss: 0.11930, valid set1 loss: 0.15547
Tue Dec 19 13:31:36 2023 Epoch 28, lr: 0.0000008, train loss: 0.11637, valid set1 loss: 0.16007
Tue Dec 19 13:33:05 2023 Epoch 29, lr: 0.0000008, train loss: 0.11546, valid set1 loss: 0.15569
Tue Dec 19 13:34:33 2023 Epoch 30, lr: 0.0000008, train loss: 0.11271, valid set1 loss: 0.15258
Tue Dec 19 13:36:03 2023 Epoch 31, lr: 0.0000008, train loss: 0.11263, valid set1 loss: 0.15881
Tue Dec 19 13:37:32 2023 Epoch 32, lr: 0.0000008, train loss: 0.11057, valid set1 loss: 0.15510
Tue Dec 19 13:39:00 2023 Epoch 33, lr: 0.0000008, train loss: 0.10832, valid set1 loss: 0.15721
Tue Dec 19 13:40:29 2023 Epoch 34, lr: 0.0000007, train loss: 0.10684, valid set1 loss: 0.15726
Tue Dec 19 13:41:57 2023 Epoch 35, lr: 0.0000007, train loss: 0.10650, valid set1 loss: 0.15564
Tue Dec 19 13:43:26 2023 Epoch 36, lr: 0.0000007, train loss: 0.10563, valid set1 loss: 0.15376
Tue Dec 19 13:44:55 2023 Epoch 37, lr: 0.0000007, train loss: 0.10124, valid set1 loss: 0.15227
Tue Dec 19 13:46:26 2023 Epoch 38, lr: 0.0000007, train loss: 0.10201, valid set1 loss: 0.15607
Tue Dec 19 13:47:55 2023 Epoch 39, lr: 0.0000007, train loss: 0.10129, valid set1 loss: 0.14963
Tue Dec 19 13:49:25 2023 Epoch 40, lr: 0.0000006, train loss: 0.09882, valid set1 loss: 0.15106
Tue Dec 19 13:50:53 2023 Epoch 41, lr: 0.0000006, train loss: 0.09567, valid set1 loss: 0.15490
Tue Dec 19 13:52:22 2023 Epoch 42, lr: 0.0000006, train loss: 0.09373, valid set1 loss: 0.14612
Tue Dec 19 13:53:51 2023 Epoch 43, lr: 0.0000006, train loss: 0.09377, valid set1 loss: 0.15035
Tue Dec 19 13:55:20 2023 Epoch 44, lr: 0.0000006, train loss: 0.09239, valid set1 loss: 0.15403
Tue Dec 19 13:56:49 2023 Epoch 45, lr: 0.0000006, train loss: 0.09131, valid set1 loss: 0.14605
Tue Dec 19 13:58:20 2023 Epoch 46, lr: 0.0000006, train loss: 0.08945, valid set1 loss: 0.14605
Tue Dec 19 13:59:50 2023 Epoch 47, lr: 0.0000005, train loss: 0.09033, valid set1 loss: 0.14688
Tue Dec 19 14:01:19 2023 Epoch 48, lr: 0.0000005, train loss: 0.09183, valid set1 loss: 0.14579
Tue Dec 19 14:02:49 2023 Epoch 49, lr: 0.0000005, train loss: 0.09067, valid set1 loss: 0.14754
Tue Dec 19 14:04:18 2023 Epoch 50, lr: 0.0000005, train loss: 0.08820, valid set1 loss: 0.14755
Tue Dec 19 14:05:46 2023 Epoch 51, lr: 0.0000005, train loss: 0.08711, valid set1 loss: 0.14347
Tue Dec 19 14:07:16 2023 Epoch 52, lr: 0.0000005, train loss: 0.08334, valid set1 loss: 0.13951
Tue Dec 19 14:08:46 2023 Epoch 53, lr: 0.0000004, train loss: 0.08157, valid set1 loss: 0.14449
Tue Dec 19 14:10:15 2023 Epoch 54, lr: 0.0000004, train loss: 0.07926, valid set1 loss: 0.13760
Tue Dec 19 14:11:45 2023 Epoch 55, lr: 0.0000004, train loss: 0.07754, valid set1 loss: 0.13696
Tue Dec 19 14:13:15 2023 Epoch 56, lr: 0.0000004, train loss: 0.07611, valid set1 loss: 0.13905
Tue Dec 19 14:14:44 2023 Epoch 57, lr: 0.0000004, train loss: 0.07252, valid set1 loss: 0.13509
Tue Dec 19 14:16:14 2023 Epoch 58, lr: 0.0000004, train loss: 0.07062, valid set1 loss: 0.13258
Tue Dec 19 14:17:44 2023 Epoch 59, lr: 0.0000004, train loss: 0.06738, valid set1 loss: 0.13412
Tue Dec 19 14:19:13 2023 Epoch 60, lr: 0.0000003, train loss: 0.06573, valid set1 loss: 0.13013
Tue Dec 19 14:20:43 2023 Epoch 61, lr: 0.0000003, train loss: 0.06369, valid set1 loss: 0.13048
Tue Dec 19 14:22:11 2023 Epoch 62, lr: 0.0000003, train loss: 0.06180, valid set1 loss: 0.13245
Tue Dec 19 14:23:40 2023 Epoch 63, lr: 0.0000003, train loss: 0.06091, valid set1 loss: 0.12690
Tue Dec 19 14:25:10 2023 Epoch 64, lr: 0.0000003, train loss: 0.05748, valid set1 loss: 0.12890
Tue Dec 19 14:26:39 2023 Epoch 65, lr: 0.0000003, train loss: 0.05679, valid set1 loss: 0.12745
Tue Dec 19 14:28:08 2023 Epoch 66, lr: 0.0000003, train loss: 0.05530, valid set1 loss: 0.12498
Tue Dec 19 14:29:38 2023 Epoch 67, lr: 0.0000002, train loss: 0.05450, valid set1 loss: 0.12552
Tue Dec 19 14:31:07 2023 Epoch 68, lr: 0.0000002, train loss: 0.05261, valid set1 loss: 0.12328
Tue Dec 19 14:32:38 2023 Epoch 69, lr: 0.0000002, train loss: 0.05204, valid set1 loss: 0.12588
Tue Dec 19 14:34:07 2023 Epoch 70, lr: 0.0000002, train loss: 0.05019, valid set1 loss: 0.12311
Tue Dec 19 14:35:37 2023 Epoch 71, lr: 0.0000002, train loss: 0.05011, valid set1 loss: 0.12184
Tue Dec 19 14:37:08 2023 Epoch 72, lr: 0.0000002, train loss: 0.05028, valid set1 loss: 0.12263
Tue Dec 19 14:38:36 2023 Epoch 73, lr: 0.0000002, train loss: 0.04882, valid set1 loss: 0.11924
Tue Dec 19 14:40:06 2023 Epoch 74, lr: 0.0000001, train loss: 0.04894, valid set1 loss: 0.11857
Tue Dec 19 14:41:37 2023 Epoch 75, lr: 0.0000001, train loss: 0.04859, valid set1 loss: 0.12074
Tue Dec 19 14:43:05 2023 Epoch 76, lr: 0.0000001, train loss: 0.04693, valid set1 loss: 0.12175
Tue Dec 19 14:44:34 2023 Epoch 77, lr: 0.0000001, train loss: 0.04614, valid set1 loss: 0.11994
Tue Dec 19 14:46:04 2023 Epoch 78, lr: 0.0000001, train loss: 0.04610, valid set1 loss: 0.11730
Tue Dec 19 14:47:34 2023 Epoch 79, lr: 0.0000001, train loss: 0.04685, valid set1 loss: 0.11643
Tue Dec 19 14:49:04 2023 Epoch 80, lr: 0.0000001, train loss: 0.04495, valid set1 loss: 0.11815
Tue Dec 19 14:50:33 2023 Epoch 81, lr: 0.0000001, train loss: 0.04484, valid set1 loss: 0.11917
Tue Dec 19 14:52:02 2023 Epoch 82, lr: 0.0000001, train loss: 0.04470, valid set1 loss: 0.11866
Tue Dec 19 14:53:31 2023 Epoch 83, lr: 0.0000001, train loss: 0.04465, valid set1 loss: 0.11791
Tue Dec 19 14:55:00 2023 Epoch 84, lr: 0.0000001, train loss: 0.04391, valid set1 loss: 0.11822
Tue Dec 19 14:56:28 2023 Epoch 85, lr: 0.0000000, train loss: 0.04392, valid set1 loss: 0.11911
Tue Dec 19 14:57:57 2023 Epoch 86, lr: 0.0000000, train loss: 0.04296, valid set1 loss: 0.11990
Tue Dec 19 14:59:26 2023 Epoch 87, lr: 0.0000000, train loss: 0.04375, valid set1 loss: 0.12016
Tue Dec 19 15:00:55 2023 Epoch 88, lr: 0.0000000, train loss: 0.04437, valid set1 loss: 0.12021
Tue Dec 19 15:02:24 2023 Epoch 89, lr: 0.0000000, train loss: 0.04335, valid set1 loss: 0.12012
Tue Dec 19 15:03:53 2023 Epoch 90, lr: 0.0000000, train loss: 0.04374, valid set1 loss: 0.11999
Tue Dec 19 15:05:22 2023 Epoch 91, lr: 0.0000000, train loss: 0.04338, valid set1 loss: 0.11985
Tue Dec 19 15:06:51 2023 Epoch 92, lr: 0.0000000, train loss: 0.04344, valid set1 loss: 0.11973
Tue Dec 19 15:08:19 2023 Epoch 93, lr: 0.0000000, train loss: 0.04298, valid set1 loss: 0.11958
Tue Dec 19 15:09:48 2023 Epoch 94, lr: 0.0000000, train loss: 0.04362, valid set1 loss: 0.11943
Tue Dec 19 15:11:17 2023 Epoch 95, lr: 0.0000000, train loss: 0.04336, valid set1 loss: 0.11932
Tue Dec 19 15:12:47 2023 Epoch 96, lr: 0.0000000, train loss: 0.04294, valid set1 loss: 0.11925
Tue Dec 19 15:14:16 2023 Epoch 97, lr: 0.0000000, train loss: 0.04265, valid set1 loss: 0.11921
Tue Dec 19 15:15:46 2023 Epoch 98, lr: 0.0000000, train loss: 0.04299, valid set1 loss: 0.11921
Tue Dec 19 15:17:17 2023 Epoch 99, lr: 0.0000010, train loss: 0.04219, valid set1 loss: 0.11501
Tue Dec 19 21:50:21 2023 Epoch 1, lr: 0.0000010, train loss: 1.00000, valid set1 loss: 0.49063
