Tue Dec 19 15:29:38 2023 Epoch 1, lr: 0.0000010, train loss: 5.32339, valid set1 loss: 2.80643
Tue Dec 19 15:31:10 2023 Epoch 2, lr: 0.0000010, train loss: 2.47237, valid set1 loss: 1.74309
Tue Dec 19 15:32:41 2023 Epoch 3, lr: 0.0000010, train loss: 1.58093, valid set1 loss: 1.02190
Tue Dec 19 15:34:14 2023 Epoch 4, lr: 0.0000010, train loss: 0.91177, valid set1 loss: 0.53498
Tue Dec 19 15:35:48 2023 Epoch 5, lr: 0.0000010, train loss: 0.47647, valid set1 loss: 0.27628
Tue Dec 19 15:37:21 2023 Epoch 6, lr: 0.0000010, train loss: 0.25552, valid set1 loss: 0.18634
Tue Dec 19 15:38:54 2023 Epoch 7, lr: 0.0000010, train loss: 0.16804, valid set1 loss: 0.13053
Tue Dec 19 15:40:25 2023 Epoch 8, lr: 0.0000010, train loss: 0.13150, valid set1 loss: 0.10642
Tue Dec 19 15:41:56 2023 Epoch 9, lr: 0.0000010, train loss: 0.11237, valid set1 loss: 0.10765
Tue Dec 19 15:43:21 2023 Epoch 10, lr: 0.0000010, train loss: 0.10343, valid set1 loss: 0.10127
Tue Dec 19 15:44:48 2023 Epoch 11, lr: 0.0000010, train loss: 0.09779, valid set1 loss: 0.09280
Tue Dec 19 15:46:21 2023 Epoch 12, lr: 0.0000010, train loss: 0.08979, valid set1 loss: 0.09522
Tue Dec 19 15:47:51 2023 Epoch 13, lr: 0.0000010, train loss: 0.08660, valid set1 loss: 0.08824
Tue Dec 19 15:49:23 2023 Epoch 14, lr: 0.0000010, train loss: 0.08353, valid set1 loss: 0.09171
Tue Dec 19 15:50:52 2023 Epoch 15, lr: 0.0000009, train loss: 0.08109, valid set1 loss: 0.08490
Tue Dec 19 15:52:25 2023 Epoch 16, lr: 0.0000009, train loss: 0.07633, valid set1 loss: 0.08590
Tue Dec 19 15:53:55 2023 Epoch 17, lr: 0.0000009, train loss: 0.07512, valid set1 loss: 0.07952
Tue Dec 19 15:55:27 2023 Epoch 18, lr: 0.0000009, train loss: 0.07392, valid set1 loss: 0.08145
Tue Dec 19 15:56:58 2023 Epoch 19, lr: 0.0000009, train loss: 0.07225, valid set1 loss: 0.07949
Tue Dec 19 15:58:31 2023 Epoch 20, lr: 0.0000009, train loss: 0.08617, valid set1 loss: 0.07922
Tue Dec 19 16:00:03 2023 Epoch 21, lr: 0.0000009, train loss: 0.07966, valid set1 loss: 0.08416
