Tue Dec 19 04:49:14 2023 Epoch 1, lr: 0.0000010, train loss: 7.79171, valid set1 loss: 3.59145
Tue Dec 19 04:50:39 2023 Epoch 2, lr: 0.0000010, train loss: 2.35580, valid set1 loss: 1.45302
Tue Dec 19 04:52:04 2023 Epoch 3, lr: 0.0000010, train loss: 1.37463, valid set1 loss: 1.14672
Tue Dec 19 04:53:25 2023 Epoch 4, lr: 0.0000010, train loss: 1.16104, valid set1 loss: 1.03958
Tue Dec 19 04:54:45 2023 Epoch 5, lr: 0.0000010, train loss: 1.06904, valid set1 loss: 0.98749
Tue Dec 19 04:56:11 2023 Epoch 6, lr: 0.0000010, train loss: 1.02031, valid set1 loss: 0.95904
Tue Dec 19 04:57:36 2023 Epoch 7, lr: 0.0000010, train loss: 0.99227, valid set1 loss: 0.94579
Tue Dec 19 04:59:00 2023 Epoch 8, lr: 0.0000010, train loss: 0.97782, valid set1 loss: 0.94123
Tue Dec 19 05:00:24 2023 Epoch 9, lr: 0.0000010, train loss: 0.97115, valid set1 loss: 0.94153
Tue Dec 19 05:01:47 2023 Epoch 10, lr: 0.0000010, train loss: 0.96800, valid set1 loss: 0.94254
Tue Dec 19 05:03:11 2023 Epoch 11, lr: 0.0000010, train loss: 0.96554, valid set1 loss: 0.94335
Tue Dec 19 05:04:37 2023 Epoch 12, lr: 0.0000010, train loss: 0.96338, valid set1 loss: 0.94363
Tue Dec 19 05:06:03 2023 Epoch 13, lr: 0.0000010, train loss: 0.96053, valid set1 loss: 0.94375
Tue Dec 19 05:07:28 2023 Epoch 14, lr: 0.0000010, train loss: 0.95793, valid set1 loss: 0.94412
Tue Dec 19 05:08:52 2023 Epoch 15, lr: 0.0000009, train loss: 0.95608, valid set1 loss: 0.94428
Tue Dec 19 05:10:18 2023 Epoch 16, lr: 0.0000009, train loss: 0.95413, valid set1 loss: 0.94474
Tue Dec 19 05:11:43 2023 Epoch 17, lr: 0.0000009, train loss: 0.95281, valid set1 loss: 0.94500
Tue Dec 19 05:13:08 2023 Epoch 18, lr: 0.0000009, train loss: 0.95145, valid set1 loss: 0.94549
Tue Dec 19 05:14:31 2023 Epoch 19, lr: 0.0000009, train loss: 0.95026, valid set1 loss: 0.94634
Tue Dec 19 05:15:54 2023 Epoch 20, lr: 0.0000009, train loss: 0.94916, valid set1 loss: 0.94688
Tue Dec 19 05:17:17 2023 Epoch 21, lr: 0.0000009, train loss: 0.94899, valid set1 loss: 0.94823
Tue Dec 19 05:18:39 2023 Epoch 22, lr: 0.0000009, train loss: 0.95036, valid set1 loss: 0.94907
Tue Dec 19 05:20:01 2023 Epoch 23, lr: 0.0000009, train loss: 0.94892, valid set1 loss: 0.95026
Tue Dec 19 05:21:23 2023 Epoch 24, lr: 0.0000009, train loss: 0.94793, valid set1 loss: 0.95107
Tue Dec 19 05:22:44 2023 Epoch 25, lr: 0.0000009, train loss: 0.94839, valid set1 loss: 0.95303
Tue Dec 19 05:24:06 2023 Epoch 26, lr: 0.0000008, train loss: 0.94841, valid set1 loss: 0.95065
Tue Dec 19 05:25:28 2023 Epoch 27, lr: 0.0000008, train loss: 0.94699, valid set1 loss: 0.95606
Tue Dec 19 05:26:50 2023 Epoch 28, lr: 0.0000008, train loss: 0.95820, valid set1 loss: 0.95638
Tue Dec 19 05:28:12 2023 Epoch 29, lr: 0.0000008, train loss: 0.94565, valid set1 loss: 0.95574
Tue Dec 19 05:29:34 2023 Epoch 30, lr: 0.0000008, train loss: 0.94584, valid set1 loss: 0.95613
Tue Dec 19 05:30:56 2023 Epoch 31, lr: 0.0000008, train loss: 0.94582, valid set1 loss: 0.95893
Tue Dec 19 05:32:18 2023 Epoch 32, lr: 0.0000008, train loss: 0.95775, valid set1 loss: 0.96047
Tue Dec 19 05:33:40 2023 Epoch 33, lr: 0.0000008, train loss: 0.94513, valid set1 loss: 0.96001
Tue Dec 19 05:35:02 2023 Epoch 34, lr: 0.0000007, train loss: 0.94461, valid set1 loss: 0.96033
Tue Dec 19 05:36:24 2023 Epoch 35, lr: 0.0000007, train loss: 0.94468, valid set1 loss: 0.96173
Tue Dec 19 05:37:46 2023 Epoch 36, lr: 0.0000007, train loss: 0.94452, valid set1 loss: 0.96442
Tue Dec 19 05:39:08 2023 Epoch 37, lr: 0.0000007, train loss: 0.94427, valid set1 loss: 0.96435
Tue Dec 19 21:54:54 2023 Epoch 1, lr: 0.0000010, train loss: 1.00000, valid set1 loss: 0.52855
Tue Dec 19 22:07:48 2023 Epoch 1, lr: 0.0000010, train loss: 1.00000, valid set1 loss: 0.52855
