Tue Dec 19 03:07:39 2023 Epoch 1, lr: 0.0000010, train loss: 1.03893, valid set1 loss: 0.86360
Tue Dec 19 03:09:06 2023 Epoch 2, lr: 0.0000010, train loss: 0.91654, valid set1 loss: 0.82636
Tue Dec 19 03:10:33 2023 Epoch 3, lr: 0.0000010, train loss: 0.87428, valid set1 loss: 0.78919
Tue Dec 19 03:12:00 2023 Epoch 4, lr: 0.0000010, train loss: 0.83645, valid set1 loss: 0.75801
Tue Dec 19 03:13:25 2023 Epoch 5, lr: 0.0000010, train loss: 0.80034, valid set1 loss: 0.73401
Tue Dec 19 03:14:50 2023 Epoch 6, lr: 0.0000010, train loss: 0.77368, valid set1 loss: 0.72150
Tue Dec 19 03:16:14 2023 Epoch 7, lr: 0.0000010, train loss: 0.74787, valid set1 loss: 0.69449
Tue Dec 19 03:17:39 2023 Epoch 8, lr: 0.0000010, train loss: 0.72601, valid set1 loss: 0.67363
Tue Dec 19 03:19:05 2023 Epoch 9, lr: 0.0000010, train loss: 0.70245, valid set1 loss: 0.65647
Tue Dec 19 03:20:29 2023 Epoch 10, lr: 0.0000010, train loss: 0.68223, valid set1 loss: 0.64200
Tue Dec 19 03:21:55 2023 Epoch 11, lr: 0.0000010, train loss: 0.66754, valid set1 loss: 0.63688
Tue Dec 19 03:23:21 2023 Epoch 12, lr: 0.0000010, train loss: 0.65613, valid set1 loss: 0.62595
Tue Dec 19 03:24:46 2023 Epoch 13, lr: 0.0000010, train loss: 0.64266, valid set1 loss: 0.62277
Tue Dec 19 03:26:11 2023 Epoch 14, lr: 0.0000010, train loss: 0.63631, valid set1 loss: 0.61849
Tue Dec 19 03:27:37 2023 Epoch 15, lr: 0.0000009, train loss: 0.63259, valid set1 loss: 0.61347
Tue Dec 19 03:29:05 2023 Epoch 16, lr: 0.0000009, train loss: 0.62222, valid set1 loss: 0.61441
Tue Dec 19 03:30:30 2023 Epoch 17, lr: 0.0000009, train loss: 0.61673, valid set1 loss: 0.60864
Tue Dec 19 03:31:57 2023 Epoch 18, lr: 0.0000009, train loss: 0.60827, valid set1 loss: 0.60883
Tue Dec 19 03:33:22 2023 Epoch 19, lr: 0.0000009, train loss: 0.60320, valid set1 loss: 0.60663
Tue Dec 19 03:34:49 2023 Epoch 20, lr: 0.0000009, train loss: 0.59623, valid set1 loss: 0.60209
Tue Dec 19 03:36:16 2023 Epoch 21, lr: 0.0000009, train loss: 0.58996, valid set1 loss: 0.60302
Tue Dec 19 03:37:42 2023 Epoch 22, lr: 0.0000009, train loss: 0.58553, valid set1 loss: 0.60271
Tue Dec 19 03:39:08 2023 Epoch 23, lr: 0.0000009, train loss: 0.58386, valid set1 loss: 0.60931
Tue Dec 19 03:40:33 2023 Epoch 24, lr: 0.0000009, train loss: 0.58218, valid set1 loss: 0.60214
Tue Dec 19 03:41:58 2023 Epoch 25, lr: 0.0000009, train loss: 0.57994, valid set1 loss: 0.60612
Tue Dec 19 03:43:23 2023 Epoch 26, lr: 0.0000008, train loss: 0.58560, valid set1 loss: 0.60909
Tue Dec 19 03:44:48 2023 Epoch 27, lr: 0.0000008, train loss: 0.58313, valid set1 loss: 0.61177
Tue Dec 19 03:46:14 2023 Epoch 28, lr: 0.0000008, train loss: 0.57174, valid set1 loss: 0.60381
Tue Dec 19 03:47:37 2023 Epoch 29, lr: 0.0000008, train loss: 0.56561, valid set1 loss: 0.60960
Tue Dec 19 03:49:01 2023 Epoch 30, lr: 0.0000008, train loss: 0.55861, valid set1 loss: 0.60157
Tue Dec 19 03:50:25 2023 Epoch 31, lr: 0.0000008, train loss: 0.55446, valid set1 loss: 0.60409
Tue Dec 19 03:51:49 2023 Epoch 32, lr: 0.0000008, train loss: 0.54763, valid set1 loss: 0.60018
Tue Dec 19 03:53:16 2023 Epoch 33, lr: 0.0000008, train loss: 0.54850, valid set1 loss: 0.61052
Tue Dec 19 03:54:41 2023 Epoch 34, lr: 0.0000007, train loss: 0.54657, valid set1 loss: 0.61961
Tue Dec 19 03:56:05 2023 Epoch 35, lr: 0.0000007, train loss: 0.54351, valid set1 loss: 0.62255
Tue Dec 19 03:57:31 2023 Epoch 36, lr: 0.0000007, train loss: 0.54704, valid set1 loss: 0.61720
Tue Dec 19 03:58:57 2023 Epoch 37, lr: 0.0000007, train loss: 0.54783, valid set1 loss: 0.62172
Tue Dec 19 04:00:23 2023 Epoch 38, lr: 0.0000007, train loss: 0.53621, valid set1 loss: 0.61631
Tue Dec 19 04:01:49 2023 Epoch 39, lr: 0.0000007, train loss: 0.52995, valid set1 loss: 0.61841
Tue Dec 19 04:03:14 2023 Epoch 40, lr: 0.0000006, train loss: 0.52304, valid set1 loss: 0.61470
Tue Dec 19 04:04:40 2023 Epoch 41, lr: 0.0000006, train loss: 0.51740, valid set1 loss: 0.61938
Tue Dec 19 04:06:06 2023 Epoch 42, lr: 0.0000006, train loss: 0.51238, valid set1 loss: 0.61221
Tue Dec 19 04:07:31 2023 Epoch 43, lr: 0.0000006, train loss: 0.50744, valid set1 loss: 0.61969
Tue Dec 19 04:08:56 2023 Epoch 44, lr: 0.0000006, train loss: 0.50477, valid set1 loss: 0.61486
Tue Dec 19 04:10:20 2023 Epoch 45, lr: 0.0000006, train loss: 0.49959, valid set1 loss: 0.61847
Tue Dec 19 04:11:40 2023 Epoch 46, lr: 0.0000006, train loss: 0.49531, valid set1 loss: 0.61867
Tue Dec 19 04:13:01 2023 Epoch 47, lr: 0.0000005, train loss: 0.48982, valid set1 loss: 0.61768
